API #,Well Name,Operator,Status,Production_Info,Well_Type,Closest_City,State_code,County_code,Well_no,County,State,Well_file_no,stimulation_date,stimulated_formation,top_ft,bottom_ft,stages,volume,volumne_units,treatment_type,acid,lbs_prop,max_psi,bbls_min
33-053-04856,Columbus Federal 3-16H ,"CONTINENTAL RESOURCES, INC.",Active,"1.5 k Barrels of Oil Produced in Jul 2023
1 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,04856,McKenzie,ND,25160,N/A,N/A,7082.0,N/A,N/A,23122.0,N/A,N/A,N/A,N/A,N/A,N/A
33-105-02719,N/A,N/A,N/A,N/A,N/A,N/A,33,105,02719,N/A,N/A,23359,N/A,type treatment ,7125.0,N/A,N/A,10924.0,N/A,N/A,N/A,N/A,28.0,N/A
33-053-08946,Lewis Federal 530011-31 4BR ,N/A,N/A,N/A,N/A,N/A,33,053,08946,N/A,N/A,36047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-105-02728,Atlanta Federal 6-6H ,N/A,N/A,N/A,N/A,N/A,33,105,02728,N/A,N/A,23368,N/A,3651745,7130.0,N/A,N/A,31.0,N/A,N/A,N/A,N/A,N/A,7993.0
33-105-02723,Atlanta Federal 10-6H ,"CONTINENTAL RESOURCES, INC.",Active,"806 Barrels of Oil Produced in Jul 2023
1 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,105,02723,Williams,ND,23363,N/A,24.0,7133.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-03943,Magnum 1-36-25H ,"SLAWSON EXPLORATION COMPANY, INC.",Active,"1.1 k Barrels of Oil Produced in Jul 2023
1.9 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,03943,McKenzie,ND,22247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-105-02731,Atlanta 2-6H ,"CONTINENTAL RESOURCES, INC.",Active,"209 Barrels of Oil Produced in Jul 2023
422 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,105,02731,Williams,ND,23371,N/A,details,7130.0,N/A,N/A,10888.0,N/A,N/A,N/A,N/A,2980006.0,8500.0
33-053-06057,Kline Federal 5300 31-18 6B ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"327 Barrels of Oil Produced in Jul 2023
1.5 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06057,McKenzie,ND,28756,N/A,N/A,8323.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-105-02724,Atlanta Federal 9-6H ,"CONTINENTAL RESOURCES, INC.",Active,"217 Barrels of Oil Produced in Jul 2023
378 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,105,02724,Williams,ND,23364,N/A,10854 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.0
33-053-03911,N/A,N/A,N/A,N/A,N/A,N/A,33,053,03911,N/A,N/A,20864,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06549,Lewis Federal 5300 11-31 28 ,N/A,N/A,N/A,N/A,N/A,33,053,06549,N/A,N/A,30189,N/A,maximum treatment pressure (psl),N/A,N/A,N/A,6010700.0,N/A,N/A,N/A,N/A,N/A,N/A
33-053-05924,Chalmers 5301 44-24 2TR ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"439 Barrels of Oil Produced in Jul 2023
7.4 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,05924,McKenzie,ND,28342,N/A,N/A,8265.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-05954,Wade Federal 5300 41-30 6B ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"440 Barrels of Oil Produced in Jul 2023
2.5 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,05954,McKenzie,ND,28425,N/A,N/A,8347.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06011,Chalmers 5301 44-24 4T2R ,OASIS PETROLEUM NORTH AMERICA LLC,Inactive,N/A,Oil & Gas,Williston,33,053,06011,McKenzie,ND,28600,N/A,N/A,8266.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06030,Kline Federal 5300 41-18 12TX ,OASIS PETROLEUM NORTH AMERICA LLC,Abandoned,N/A,Oil & Gas,Williston,33,053,06030,McKenzie,ND,28658,N/A,N/A,8384.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-05849,Lewis Federal 5300 21-31 58 ,N/A,N/A,N/A,N/A,N/A,33,053,05849,N/A,N/A,28194,N/A,印,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06231,Gramma Federal 5300 41-3112B ,N/A,N/A,N/A,N/A,N/A,33,053,06231,N/A,N/A,29316,N/A,N/A,8462.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-03911,Jefferies 5301 43-12B ,N/A,N/A,N/A,N/A,N/A,33,053,03911,N/A,N/A,22220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06029,D Deepened Well ,N/A,N/A,N/A,N/A,N/A,33,053,06029,N/A,N/A,28655,N/A,N/A,8322.0,N/A,214895.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06018,Spacing Unit Description ,N/A,N/A,N/A,N/A,N/A,33,053,06018,N/A,N/A,28633,N/A,N/A,8390.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06223,Kline Federal 5300 11-18 5B ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"326 Barrels of Oil Produced in Jul 2023
2.4 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06223,McKenzie,ND,29242,N/A,N/A,8351.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06023,CHALMERS 5300 21-19 98 ,N/A,N/A,N/A,N/A,N/A,33,053,06023,N/A,N/A,28648,N/A,N/A,8930.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06021,Chalmers 5300 21-19 ST ,N/A,N/A,N/A,N/A,N/A,33,053,06021,N/A,N/A,28636,N/A,N/A,8386.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-04852,Cc lumbus Federal 1-16H ,N/A,N/A,N/A,N/A,N/A,33,053,04852,N/A,N/A,25156,N/A,N/A,7364.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-105-02722,Atlanta 11-6H ,"CONTINENTAL RESOURCES, INC.",Active,"356 Barrels of Oil Produced in Jul 2023
568 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,105,02722,Williams,ND,23362,N/A,lbs proppant ,7123.0,N/A,N/A,3069436.0,N/A,N/A,deta is ,N/A,N/A,N/A
33-053-05845,Lewis Federal 5300 21-31 68 ,N/A,N/A,N/A,N/A,N/A,33,053,05845,N/A,N/A,28190,N/A,type treatment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06056,KLINE FEDERAL 5300 31-18 7T ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"357 Barrels of Oil Produced in Jul 2023
3.6 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06056,McKenzie,ND,28755,N/A,N/A,8325.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
