API #,Well Name,Lease Name,Location,Operator,Status,Producetion_information,Well_Type,Closest_City
33-053-04856,Columbus Federal 3-16H ,"CONTINENTAL RESOURCES, INC.","McKenzie County, ND","CONTINENTAL RESOURCES, INC.",Active,"1.5 k Barrels of Oil Produced in Jul 2023
1 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-105-02719,,,,,,,,
33-053-08946,Lewis Federal 530011-31 4BR ,,,,,,,
33-105-02728,Atlanta Federal 6-6H ,,,,,,,
33-105-02723,Atlanta Federal 10-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"806 Barrels of Oil Produced in Jul 2023
1 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-03943,Magnum 1-36-25H ,"SLAWSON EXPLORATION COMPANY, INC.","McKenzie County, ND","SLAWSON EXPLORATION COMPANY, INC.",Active,"1.1 k Barrels of Oil Produced in Jul 2023
1.9 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-105-02731,Atlanta 2-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"209 Barrels of Oil Produced in Jul 2023
422 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06057,Kline Federal 5300 31-18 6B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"327 Barrels of Oil Produced in Jul 2023
1.5 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-105-02724,Atlanta Federal 9-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"217 Barrels of Oil Produced in Jul 2023
378 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-03911,,,,,,,,
33-053-06549,Lewis Federal 5300 11-31 28 ,,,,,,,
33-053-05924,Chalmers 5301 44-24 2TR ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"439 Barrels of Oil Produced in Jul 2023
7.4 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-05954,Wade Federal 5300 41-30 6B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"440 Barrels of Oil Produced in Jul 2023
2.5 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06011,Chalmers 5301 44-24 4T2R ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Inactive,,Oil & Gas,Williston
33-053-06030,Kline Federal 5300 41-18 12TX ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Abandoned,,Oil & Gas,Williston
33-053-05849,Lewis Federal 5300 21-31 58 ,,,,,,,
33-053-06231,Gramma Federal 5300 41-3112B ,,,,,,,
33-053-03911,Jefferies 5301 43-12B ,,,,,,,
33-053-06029,D Deepened Well ,,,,,,,
33-053-06018,Spacing Unit Description ,,,,,,,
33-053-06223,Kline Federal 5300 11-18 5B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"326 Barrels of Oil Produced in Jul 2023
2.4 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06023,CHALMERS 5300 21-19 98 ,,,,,,,
33-053-06021,Chalmers 5300 21-19 ST ,,,,,,,
33-053-04852,Cc lumbus Federal 1-16H ,,,,,,,
33-105-02722,Atlanta 11-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"356 Barrels of Oil Produced in Jul 2023
568 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-05845,Lewis Federal 5300 21-31 68 ,,,,,,,
33-053-06056,KLINE FEDERAL 5300 31-18 7T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"357 Barrels of Oil Produced in Jul 2023
3.6 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-03944,MAGNUM 2-36-25H ,"SLAWSON EXPLORATION COMPANY, INC.","McKenzie County, ND","SLAWSON EXPLORATION COMPANY, INC.",Active,"518 Barrels of Oil Produced in Jul 2023
627 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-04981,Colville 5301 44-12T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"730 Barrels of Oil Produced in Jul 2023
2.3 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-105-02725,Atlanta Federal 8-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"495 Barrels of Oil Produced in Jul 2023
707 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
3305305924,(see details ,,,,,,,
33-053-06025,KLINE FEDERAL 5300 41-18 9T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"677 Barrels of Oil Produced in Jul 2023
8.1 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-90244,BUCK SHOT SWD 5300 31-31 ,FALCON MIDSTREAM SERVICES LLC,"McKenzie County, ND",FALCON MIDSTREAM SERVICES LLC,Active,,Salt Water Disposal,Williston
