well_names,well_no,well_county,state_info,well_api,operator_of_well,stimulation_date,stimulated_formation,top_ft,bottom_ft,stages,volume,volumne_units,treatment_type,acid,lbs_prop,max_psi,bbls_min
basic game & fish 34-3,11745,mckenzie,co,,"rim operatin , inc",,,,,,,,,,,,
corps of en ineers 31-10,11920,mckenzie,co,,"rim operatin , inc",,,,,,,,,,,,
lewis & clark 2-4h,15358,mckenzie,co,,"rim operatin , inc ",,,,,,,,,,,,
wade federal 5300 21-30h,20197,2220 f n ,tx,,oasis petroleum,,,,,,,,,,,,
(see details,20407,mckenzie,zip code,,telephone number,,,,,,,,,,,,
,20863,qtr-qtr,address,,telephone number,,,,,,,,,,,,
24-hour production ra te,20864,qtr-qtr,izip code,,telephone number,,,,,,,,,,,,
dahl 15-11h,21266,mckenzie,tx,,telephone number,,,,,,,,,,,,
dahl federal 2-15h,21796,well name and number ,77002,,telephone number,,,,,,,,,,,,
spacing unit description ,22099,mckenzie,zip code,,!telephone number ,08/31/2013 ,,8366,charles salts ,36 ,barrels ,,sand frac ,,,,
24-hour production ra te,22220,baker ,izip code,,telephone number,,,,,,,,,,,,
lnnoko 5301 41-12t,22221,mckenzie,zip code,,oasis petroleum north america ,09/07/2013 ,",,",8391 ,-,36 ,barrels,,maximum treatment rate (bbls/min),,~-i top{fl) i ,,"20/40 ceramic: 2, 178, 796"
magnum 1-36-25h,22247,mckenzie,co,,"slawson ex !oration com an , inc.",,,,,,,,,,,,
magnum 2-36-25h,22249,205 f s l ,zip code ,,"slawson ex !oration com an , inc. ",20705 ,maximum treatment rate (bbls/min) ,formation ,-,,type treatment,,11104 ,,"sane i, 631217# of 20/40 ceramic, and 22133 bbls of clean water.",8403,date stimulated 
,22731,qtr-qtr,address,,telephone number,,,,,,,,,,,,
24-hour production ra te,22740,mckenzie,izip code,,telephone number,,,,,,,,,,,,
ash federal 5300 11-18t ,23230,at surface ,zip code ,,oasis petroleum north america llc,three forks ,,8491,ub ,92216 ,details,,sand frac ,,,,type treatment 
24-hour production rate,23359,williams ,izip code,,"continental resources, inc.",lbs proppant ,type treatment ,7125 ,minnekahta ,,10924 ,,stimulated formation ,,1/2()/2014 ,28.0,acid%
atlanta 13-6h,23360,williams,ok,,"co 1tinental resources, inc.",lbs proppant ,da!e' stimulated ,7125 ,minnekahta ,,stimulated formation ,,details,,7468,del< ils,26.0
atlanta 12-6h,23361,williams,izip code,,!telephone number ,,3098438,7124 ,minnekahta ,,maximum treatment rate (bbls/min),,,,datil stimulated ,stimulated formation ,lbs proppant
atlanta 11-6h,23362,495 f n l ,izip code,,company:,acid % ,lbs proppant ,7123 ,minnekahta ,,3069436 ,,3069436 ,deta is ,"pumped 124519# 40/70 mesh, 2121332# 20/40 sand and 948104# 20/40 ceramic.",date stimulated ,stimulated formation 
atlanta federal 10-6h,23363,nenw ,izip code,,company:,lbs proppant ,24.0,7133 ,minnekahta ,,stimulated formation ,,details,,typ1l treatment ,sand frac ,det<tils
24-hour production rate,23364,495 f ,izip code,,company:,lbs proppant,10854 ,mission canyon ,odgepole,,well s ecific stimulations ,,details,,date stimulated ,stimulated formation ,31.0
atlanta federal 8-6h,23365,495 f ,izip code,,"continental resources, inc.",23.0,santi frac,7200,base of last salt ,,10865,,det iils,,bottom (ft) stimulation stages ,3764730,lbs proppant 
atlanta federal 7-6h,23366,nwnw ,ok,,"continental resources, inc.",,maximum treatment rate (bbls/min),7186 ,minnekahta ,,40,,detiils,,det11ils,sane! frac,4810703
atlanta federal 6-6h ,23367,williams ,ok,,company:,top (ft) ,3841831 ,7130,minnekahta ,,24.0,,stimulated formation ,,sanil frac ,"pumped 39730# 40/70 mesh, 2734057# 20/40 sand and 1068044# 20/40 ceramic.",lbs proppant 
atlanta federal 6-6h,23368,williams,izip code,,company:,,3651745,7130 ,minnekahta ,,31,,,,bottom (ft) stimulation stages ,lbs proppant ,7993
atlanta 4-6h,23369,williams,ok,,"continental resources, inc.",lbs proppant ,maximum treatment pressure (psi),7178 ,minnekahta ,,stimulated formation ,,,,pumped 2230502# 20/40 sand and 992730# 20/40 ceramic.,top (ft) ,dato stimulated 
atlanta 3-6h,23370,495 f ,ok,,"continental resources, inc.",3/20/2013 ,,7184 ,minnekahta ,,,,sand frac ,,,!volume units,maximum treatment rate (bbls/min)
atlanta 2-6h,23371,williams,izip code,,baker,type treatment,details,7130,minnekahta ,,10888,,details,,sand frac ,2980006,8500
atlanta 1-6h,23372,williams,ok,,"continental resources, inc. ",i lbs proppant ,,greenhorn ,4534,,,,sand frac ,,,,
cc lumbus federal 1-16h,25156,mckenzie,73126,,!telephone number ,i maximum treatment pressure (psi),,7364 ,minnekahta ,i maximum treatment pressure (psi),date stimulated ,,2686987 ,,,"provided is true, complete and correct as ",
tallahassee 3-16h ,25157,mckenzie,ok,,continental resources inc. ,type treatment ,,dunham salt ,6682,,,,sand frac ,,date stimulated ,type treatment ,!stimulated formation 
tallahassee 2-16h ,25158,sene ,ok ,,continental resources inc. ,11080 ,,7090,minnekahta ,,1acid% ,,!volume units ,,7518,maximum treatment pressure (psi),!stimulated formation 
cc1lumbus federal 2-16h ,25159,mckenzie,ok,,"continental resources, inc. ",2/27/2014 ,,7136,minnelusa ,,,,3937842 ,,,,
columbus federal 3-16h ,25160,153 n ,zip code,,continental resources inc. ,i maximum treatment rate (bbls/min),,7082,minnelusa ,,23122 ,,3788746 ,,,,
24-hour production rate,25571,qtr-qtr,zip code,,oasis petroleum north america,36 ,,8356 ,8356 ,i maximum treatment rate (bbls/min),,,sand frac ,,i volume ,type treatment ,i hereby swear or affirm that the information 
