API #,Well Name,Operator Name,County,State,Latitude,Longitude
33-053-04856,COLUMBUS FEDERAL 3-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075449,-103.669687
33-105-02719,ATLANTA 14-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109434,-103.727494
33-053-08946,LEWIS FEDERAL 5300 11-31 4BR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.035654,-103.60313
33-105-02728,ATLANTA FEDERAL 5-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.10951,-103.730156
33-105-02723,ATLANTA FEDERAL 10-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109455,-103.728231
33-053-03943,MAGNUM 1-36-25H,"SLAWSON EXPLORATION COMPANY, INC.",McKenzie County,ND,48.025064,-103.622135
33-105-02731,ATLANTA 2-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109546,-103.731344
33-053-06057,KLINE FEDERAL 5300 31-18 6B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.074362,-103.602934
33-105-02724,ATLANTA FEDERAL 9-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.10946,-103.728415
33-053-03911,YUKON 5301 41-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082914,-103.622634
33-053-06549,LEWIS FEDERAL 5300 11-31 2B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.035926,-103.6031
33-053-05924,CHALMERS 5301 44-24 2TR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055866,-103.604903
33-053-05954,WADE FEDERAL 5300 41-30 6B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.041298,-103.603014
33-053-06011,CHALMERS 5301 44-24 4T2R,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055641,-103.604904
33-053-06030,KLINE FEDERAL 5300 41-18 12TX,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.068816,-103.602866
33-053-05849,LEWIS FEDERAL 5300 21-31 5B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.031808,-103.603086
33-053-06231,GRAMMA FEDERAL 5300 41-31 12B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.026154,-103.602783
33-053-03911,YUKON 5301 41-12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.082914,-103.622634
33-053-06029,KLINE FEDERAL 5300 41-18 14BX,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.068635,-103.602863
33-053-06018,CHALMERS 5300 21-19 5T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.061796,-103.602522
33-053-06223,KLINE FEDERAL 5300 11-18 5B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.078987,-103.602835
33-053-06023,CHALMERS 5300 21-19 9B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.061434,-103.602524
33-053-06021,CHALMERS 5300 21-19 8T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.061525,-103.602523
33-053-04852,COLUMBUS FEDERAL 1-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.074859,-103.67017
